cutoff,9,,,,,,,,,,
Database,h2_pem,,,,,,,,,,
,,,,,,,,,,,
Activity,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, EP2050",,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,
comment,"1 kg H2 produced using a PEM electrolyzer. Original source: 1 MW PEM electrolyzer based on Niklas Gerloff, Comparative Life-Cycle-Assessment analysis of three major water electrolysis technologies while applying various energy scenarios for a greener hydrogen production, Journal of Energy Storage, Volume 43, 2021, https://doi.org/10.1016/j.est.2021.102759.
Further refined (with respect to stack and system lifetime and water use, notably) from data from manufacturer's specifications (see tab ""Manufacturers' data"") and IndWEDe project report (https://www.now-gmbh.de/wp-content/uploads/2020/09/181127_bro_a4_indwede-studie_kurzfassung_de_v03.pdf). For further secifications (e.g., efficiency, lifetime, etc.), see tab ""Final specifications"".",,,,,,,,,,
reference product,"hydrogen, gaseous, 30 bar",,,,,,,,,,
location,CH,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,comment,,,,
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, EP2050",1.00E+00,CH,kilogram,,production,"hydrogen, gaseous, 30 bar",,,,,
"electrolyzer production, 1MWe, PEM, Stack",1.35E-06,RER,unit,,technosphere,"electrolyzer, 1MWe, PEM, Stack","Stack, 5.5 years lifetime.",,,,
"electrolyzer production, 1MWe, PEM, Balance of Plant",3.37E-07,RER,unit,,technosphere,"electrolyzer, 1MWe, PEM, Balance of Plant","BoP, 20 years lifetime.",,,,
"treatment of fuel cell stack, 1MWe, PEM",-1.35E-06,RER,unit,,technosphere,"used fuel cell stack, 1MWe, PEM",Stack EoL,,,,
"treatment of fuel cell balance of plant, 1MWe, PEM",-3.37E-07,RER,unit,,technosphere,"used fuel cell balance of plant, 1MWe, PEM",BoP EoL,,,,
"market for electricity, low voltage",5.40E+01,CH,kilowatt hour,,technosphere,"electricity, low voltage",Electricity consumption with 61.7% eff.,,,,
"market for water, deionised",1.40E+01,Europe without Switzerland,kilogram,,technosphere,"water, deionised","A perfect reaction of H2O results in 1 kg H2 and 8 kg O2, and needs 9 kg H2O, however, considering some losses we assume 14 kg H2O (Simoes et al., 2021). ",,,,
Oxygen,8.00E+00,,kilogram,air,biosphere,,,,,,
"Occupation, unspecified",6.07E-04,,square meter-year,natural resource::land,biosphere,,,,,,
,,,,,,,,,,,
Activity,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, imported, EP2050",,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,
